Player,Points,Rebounds,Assists,Steals
Kobe Bryant,28.5,5.9,5,1.7
Derek Fisher,11.5,3,4.4,2
Greg Foster,2,1.8,0.5,0.1
Rick Fox,9.6,4,3.2,0.9
Devean George,3.1,1.9,0.3,0.3
Horace Grant,8.5,7.1,1.6,0.7
Ron Harper,6.5,3.5,2.4,0.8
Robert Horry,5.2,3.7,1.6,0.7
Tyronn Lue,3.4,0.8,1.2,0.5
Mark Madsen,2,2.2,0.3,0.1
Shaquille O'Neal,28.7,12.7,3.7,0.6
Brian Shaw,5.3,3.8,3.2,0.6
