Player,Points,Rebounds,Assists,Steals
Kobe Bryant,25.2,5.5,5.5,1.5
Derek Fisher,11.2,2.1,2.6,0.9
Rick Fox,7.9,4.7,3.5,0.8
Devean George,7.1,3.7,1.4,0.9
Robert Horry,6.8,5.9,2.9,1
Lindsey Hunter,5.8,1.5,1.6,0.8
Mark Madsen,2.8,2.7,0.7,0.3
Slava Medvedenko,4.7,2.2,0.6,0.4
Shaquille O'Neal,27.2,10.7,3,0.6
Mitch Richmond,4.1,1.5,0.9,0.3
Brian Shaw,2.9,1.9,1.5,0.4
Samaki Walker,6.7,7,0.9,0.4
