Player,Points,Rebounds,Assists,Steals
Kobe Bryant,22.5,6.3,4.9,1.6
Derek Fisher,6.3,1.8,2.8,1
Rick Fox,6.5,2.4,1.7,0.6
Devean George,3.2,1.5,0.2,0.2
A.C. Green,5,5.9,1,0.6
Ron Harper,7,4.2,3.4,1.1
Robert Horry,5.7,4.8,1.6,1.1
Travis Knight,1.7,2,0.4,0.1
Shaquille O'Neal,29.7,13.6,3.8,0.5
Glen Rice,15.9,4.1,2.2,0.6
John Salley,1.6,1.4,0.6,0.2
Brian Shaw,4.1,2.9,2.7,0.5
